Longitude,Latitude,Name,Location
-114.217,33.663,Quartzite - La Posa,Quartzite
-109.329,33.799,Raccoon,Alpine
-109.404,33.876,Rainbow,Greer
-110.304,31.428,Ramsey Vista,Sierra Vista
-110.29,31.429,Reef Townsite,Sierra Vista
-111.62,33.476,Regional Park - Usery Mt RA,Mesa
-109.5,33.844,Reservation Lake,Alpine
-109.963,32.708,Riggs Flat,Safford
-110.908,34.306,Rim,Forest Lakes
-114.141,34.254,River Island  - Buckskin State Park,Parker
-111.647,33.81,Riverside,Carefree
-109.481,32.883,Riverview,Sanchez
-111.219,34.563,Rock Crossing,Blue Ridge
-109.454,34.034,Rolfe C. Hoyer,Greer
-109.71,32.759,Roper Lake State Park,Safford
-110.704,32.393,Rose Canyon,Tucson
-110.979,33.83,Rose Creek,Young
-109.303,31.784,Rucker Forest Camp,Elfrida
-109.31,31.78,Rucker Lake,Douglas
-109.279,31.905,Rustler Park,Rodeo  NM
-110.988,0,Sawmill Flats,
-111.013,33.648,Schoolhouse,Roosevelt
-109.96,34.176,Scott Reservoir,Lakeside
-111.283,34.356,Second Crossing,Payson
-111.863,33.966,Seven Springs,Carefree
-109.858,32.657,Shannon,Safford
-110.996,34.307,Sharp Creek,Payson
-110.007,34.195,Show Low Lake,Show Low
-109.733,34.063,Shush Be Tou,McNary
-109.724,34.056,Shush Bezahze,McNary
-110.886,34.306,Sinkhole,Forest Lakes
-109.92,32.699,Soldier Creek,Safford
-110.74,32.417,Spencer Canyon,Tucson
-110.936,34.332,Spillway,Heber
-114.474,32.902,Squaw Lake,Yuma
-109.167,31.891,Stewart,Portal
-109.849,32.592,Stockton Pass,Safford
-109.318,33.55,Strayhorse,Alpine
-110.868,33.293,Sulphide Del Ray,Globe
-109.201,35.679,Summit,St. Michaels
-109.175,31.885,Sunny Flat,Rodeo NM
-109.548,33.992,Sunrise Lake,Eagar
-113.843,34.171,Swansea Ghost Town,Parker
-114.325,36.032,Temple Bar Marina - Lake Mead National Rec Area,Temple Bar
-112.123,35.938,TenX,Tusayan
-111.281,34.365,Third Crossing,Payson
-110.571,33.688,Timber Camp,Globe
-111.093,34.329,Tonto Creek,Payson
-111.396,33.529,Tortilla,Apache Junction
-112.113,36.053,Trailer Village - Grand Canyon National Park,Grand Canyon
-112.811,31.942,Twin Peaks - Organ Pipe Cactus National Monument,Lukeville
-111.203,33.633,Upper Burnt Corral,Apache Junction
-110.806,34.288,Upper Canyon Creek,Young
-109.347,33.269,Upper Juan Miller,Clifton
-111.094,34.339,Upper Tonto Creek,Payson
-111.619,33.476,Usery Mountain,Mesa
-110.797,34.244,Valentine Ridge,Heber
-113.794,36.951,Virgin River,Littlefield
-112.821,33.881,Vulture Peak Rd - Box Wash dispersed,Wickenburg
-111.496,36.996,Wahweap - Glen Canyon National Rec Area,Page
-111.286,34.352,Water Wheel,Payson
