Longitude,Latitude,Name,Location
-93.997,40.943,Hopeville Square Co Park,Hopeville
-90.664,42.055,Horseshoe Pond,Maquoketa
-92.559,42.985,Howards Woods,Nashua
-92.973,41.365,Howell Station - Red Rock Lake,Pella
-91.38,40.391,Hubinger Landing Park,Keokuk
-96.134,41.925,Huff - Warner Access Area,Blencoe
-94.575,42.113,Hyde Park,Scranton
-95.467,42.348,Ida Grove City Park,Ida Grove
-91.891,42.461,Independence City RV Park,Independence
-91.752,40.633,Indian Lake Park,Farmington
-91.236,40.724,Indian Path Park,Wever
-93.377,42.943,Ingebretson County Park,Thornton
-92.881,43.319,Interstate Co Park,Mitchell
-94.459,43.491,Iowa Lake Co Campground,Armstrong
-95.455,43.5,Iowa Lake Co Park,Harris
-93.617,42.846,Iowa River RV Park,Belmond
-93.551,41.599,Iowa State Fairgrounds,Des Moines
-96.171,43.436,Island Park - Rock Rapids,Rock Rapids
-94.014,41.621,Island Park Co Park,Adel
-92.906,40.827,Island View - Rathbun Lake,Centerville
-92.981,41.368,Ivans - Red Rock Lake,Pella
-91.741,42.599,Jakway County Park,Aurora
-91.988,40.993,Jefferson County Park,Fairfield
-93.775,41.78,Jester County Park,Granger
-94.261,42.731,Joe Sheldon County Park,Humboldt
-90.751,42.079,Joinerville County Park,Maquoketa
-91.597,42.677,Joy Springs County Park,Strawberry Poi
-94.68,43.122,Kearny Park,Emmetsburg
-94.192,42.583,Kennedy County Park,Fort Dodge
-91.816,42.844,Klocks Island Park,Fayette
-94.339,40.792,Kokesh Co Park,Diagonal
-95.554,42.704,Koser Spring Lake Park,Cherokee
-91.981,40.709,Lacey - Keosauqua State Park,Keosauqua
-93.583,41.296,Lake Ahquabi State Park,Indianola
-94.762,41.433,Lake Anita State Park,Anita
-94.711,41.003,Lake Binder Co Park,Corning
-92.917,42.716,Lake Considine,Bristow
-93.692,42.793,Lake Cornelia Park,Clarion
-91.896,41.192,Lake Darling State Park,Brighton
-92.446,40.759,Lake Fisher,Bloomfield
-92.55,43.373,Lake Hendricks Co Park,Riceville
-94.735,41.056,Lake Icaria Co Park,Corning
-92.182,41.636,Lake Iowa County Park,Ladora
-92.541,41.29,Lake Keomah State Park,Oskaloosa
-91.577,41.798,Lake Macbride State Park,Solon
-95.854,41.197,Lake Manawa State Park,Council Bluffs
-91.911,43.173,Lake Meyer County Park,Calmar
-94.684,40.713,Lake of Three Fires State Park,Bedford
-94.437,41.2,Lake Orient Rec Area,Orient
-96.465,43.386,Lake Pahoja Rec Area,Inwood
-91.994,40.683,Lake Sugema County Park,
-92.589,40.816,Lake Wapello State Park,Drakesville
-93.504,40.877,Lakeside Co Park,Humeston
-95.388,42.73,Larson Lake Co Park,Aurelia
-93.887,41.983,Ledges State Park,Boone
-95.23,41.023,Legion City Park,Red Oak
-92.886,40.715,Lelah Bradley Park,Centerville
-94.57,41.687,Lenon Mill Co Park,Panora
-96.162,42.027,Lewis and Clark State Park,Onawa
-92.279,43.466,Lidtke Park,Lime Springs
-93.194,43.184,Lime Creek Conservation Area - Mason City,Mason City
-91.981,42.327,Lime Creek Park - Brandon,Brandon
-91.543,41.725,Linder Point - Coralville Lake,Iowa City
-93.196,42.979,Linn Grove County Park,Rockwell
-95.246,42.895,Linn Grove Dam Co Park,Linn Grove
-93.778,40.768,Little River Rec Area,Leon
-95.801,42.45,Little Sioux Park,Correctionvill
-93.639,42.277,Little Wall Lake County Park,Jewell
-94.785,41.556,Littlefield Rec Area,Exira
-94.891,43.176,Lost Island Huston Park,Ruthven
-94.202,42.867,Lotts Creek Co Park,Dakota City
-91.356,41.278,Louisa County Fairgrounds,Columbus Junct
-91.258,40.755,Lower Augusta Skunk River Access,Augusta
-95.386,41.318,Lyons Park,Oakland
-91.736,41.051,Mac Coon Access,Lockridge
-93.232,42.663,Mallory Co Park,Hampton
-92.108,41.239,Manhattan Bridge Access,Ollie
-95.462,41.855,Manteno Co Park,Defiance
-95.787,42.168,Mapleton City,Mapleton
-90.775,42.119,Maquoketa Caves State Park,Maquoketa
-95.125,43.469,Marble Beach State Rec Area,Spirit Lake
-93.183,43.158,Margaret Macnider City Park,Mason City
-93.119,41.316,Marion County Park,Knoxville
-92.963,41.782,Mariposa Co Park,Newton
-94.349,40.818,Marlin Fogle Rec Area,Diagonal
-91.579,41.287,Marr Park,Ainsworth
-95.472,42.851,Martin Area County Park,Larrabee
-90.587,42.43,Massey Marina,Dubuque
-91.382,42.132,Matsell Bridge Natural Area,Central City
-91.878,42.778,Maynard City Park,Maynard
-92.142,42.318,McFarlane Park,La Porte City
-92.393,40.75,McGowen Rec Area,Bloomfield
-93.452,43.127,McIntosh Woods State Park,Ventura
-94.382,41.052,McKinley Park,Creston
-94.414,41.525,Menlo City Park,Menlo
-94.621,42.907,Meredith Co Park,Plover
-92.837,41.12,Miami Lake Park,Lovilia
-91.9,41.798,Middle Amana Park,Middle Amana
-94.281,41.352,Middle River Forest Area,Dexter
-91.547,40.952,Midwest Old Threshers,Mount Pleasant
-94.762,42.272,Mike Macke Memorial Park,Lake City
-95.668,42.984,Mill Creek Co Park,Paulina
-90.642,42.516,Miller Riverview City Park,Dubuque
-92.018,42.195,Milroy Access,Vinton
-92.019,42.259,Minne Estema Park,Vinton
-95.129,43.365,Minnewashta Lake,
-95.906,41.557,Missouri Valley City Park,Missouri Valle
-93.513,40.602,Moore - Gosch Memorial Park,Lineville
-95.479,42.357,Moorehead Pioneer County Park,Ida Grove
-91.76,41.989,Morgan Creek County Park,Palo
-94.637,41.24,Mormon Trail County Park,Bridgewater
-91.8,40.888,Morris County Park,Stockport
-91.351,42.807,Motor Mill Historic Site,Motor
-90.706,42.616,Mud Lake County Park,Dubuque
-94.331,41.577,Nations Bridge Co Park,Stuart
-95.587,41.936,Nelson Park,Dow City
-92.303,43.058,New Hampton City,New Hampton
-91.124,42.536,New Wine County Park,Dyersville
-93.754,40.588,Nine Eagles State Park,Davis City
-95.323,41.568,Nishna Bend Rec Area,Harlan
-94.985,40.761,Nodaway Valley County Park,Clarinda
-92.524,42.848,North Cedar Park,Plainfield
-92.971,41.378,North Overlook - Red Rock Lake,Pella
-92.088,42.866,North Woods Park,Sumner
-96.472,43.059,Oak Grove Co Park,Hawarden
-96.459,43.062,Oak Grove County Park,Hawarden
-94.069,42.256,Oak Park - Dayton,Dayton
-91.619,40.935,Oakland Mills Park,Oakland Mills
-93.264,43.481,Ochee Yahola,Northwood
-95.535,43.386,Ocheyedan Pits Rec Area,Ocheyedan
-95.249,42.308,Odebolt Memorial Walk RV Park,Odebolt
-91.92,42.648,Oelwein City Park,Oelwein
-95.448,41.197,Olde Towne Co Park,Macedonia
-95.789,42.008,Oldham Rec Area,Soldier
-95.122,43.125,Oneota Little Sioux Access,Spencer
-92.854,43.276,Osage Spring City Park,Osage
-91.444,42.793,Osborne Conservation Center,Dyersville
-92.98,43.459,Otranto Co Park,Otranto
-93.532,41.246,Otter Creek Co Park,Indianola
-92.52,42.052,Otter Creek Lake and Park,Toldedo
-92.43,41.01,Ottumwa City Park,Ottumwa
-91.508,41.909,Palisades Kepler State Park,Mt.Vernon
-94.076,41.292,Pammel County Park,Winterset
-90.687,41.52,Park Terrace - West Lake County Park,Davenport
-94.11,41.835,Pattee Park,Perry
-95.943,42.2,Peters Park - Rodney Pits Rec Area,Rodney
-91.106,42.209,Pictured Rocks Co Park,Monticello
-95.355,40.843,Pierce Creek Rec Area,Essex
-91.165,42.993,Pikes Peak State Park,McGregor
-93.647,42.783,Pikes Timber,Clarion
-95.043,41.146,Pilot Grove Co Park,Grant
-93.561,43.254,Pilot Knob State Park,Forest City
-91.435,42.454,Pin Oak Co Park,Manchester
-90.529,41.715,Pine Grove - Scott County Park,Long Grove
-93.078,42.371,Pine Lake State Park,Eldora
-93.07,42.413,Pine Ridge - Steamboat Rock,Steamboat Rock
-95.222,40.744,Pioneer City Park,Shenandoah
